Wall time,Step,Value
1735859033.7838368,0,6.1054277420043945
1735859421.6994908,1,5.367292404174805
1735859815.568917,2,5.029521942138672
1735860198.3852353,3,4.797001838684082
1735860554.4391813,4,4.550025939941406
1735860906.553902,5,4.321414947509766
1735861254.8528216,6,4.168477535247803
1735861610.460096,7,3.947744131088257
1735861957.6670692,8,3.8324363231658936
1735862302.4552412,9,3.6246767044067383
1735862647.851778,10,3.5391204357147217
1735863024.573364,11,3.3833673000335693
